model,eq_oracle,tests,states,equivalent,learning_queries,learning_steps,eq_queries,eq_steps
BitVise54,randomWp,500000,54,True,2068,22003,75975,1001190
BitVise39,randomWp,500000,39,True,1359,9047,31456,333713
OpenSSH28,randomWp,500000,28,True,844,4884,16676,164396
BitVise57,randomWp,500000,57,True,2130,19316,116083,1478989
BitViseOrig,randomWp,500000,66,True,2659,31292,151388,2036959
BitVise63,randomWp,500000,63,True,2313,20990,62014,804388
BitVise47,randomWp,500000,47,True,1641,17220,9445,112923
OpenSSHOrig,randomWp,500000,27,True,807,5936,16836,173304
OpenSSH29,randomWp,500000,29,True,779,5608,83206,900153
DropBearOrig,randomWp,500000,17,True,540,3464,1144,11908
OpenSSH34,randomWp,500000,34,True,1021,6105,72433,709531
OpenSSH36,randomWp,500000,36,True,1053,6209,3044,31407
DropBear24,randomWp,500000,24,True,739,3511,248,2187
BitVise59,randomWp,500000,59,True,2226,33205,122507,1616866
OpenSSH31,randomWp,500000,31,True,898,5196,55898,562904
BitVise45,randomWp,500000,45,True,1653,21106,5734,72798
DropBear20,randomWp,500000,20,True,627,3647,215,1950
DropBear26,randomWp,500000,26,True,789,3853,169,1521
DropBear22,randomWp,500000,22,True,694,3138,691,6479
OpenSSH26,randomWp,500000,26,True,664,4179,27483,289350
BitVise54,randomWp,500000,54,True,1987,20712,124456,1654525
BitVise39,randomWp,500000,39,True,1385,9152,20700,218925
OpenSSH28,randomWp,500000,28,True,786,4154,21384,211505
BitVise57,randomWp,500000,57,True,2144,19880,92637,1177858
BitViseOrig,randomWp,500000,66,True,2676,34332,154415,2131093
BitVise63,randomWp,500000,63,True,2308,22072,52273,677767
BitVise47,randomWp,500000,47,True,1707,13251,3628,41569
OpenSSHOrig,randomWp,500000,27,True,813,5008,7444,80104
OpenSSH29,randomWp,500000,29,True,797,5083,22514,241844
DropBearOrig,randomWp,500000,17,True,551,3339,1097,10588
OpenSSH34,randomWp,500000,34,True,960,5151,4376,42600
OpenSSH36,randomWp,500000,36,True,1038,6476,7508,76919
DropBear24,randomWp,500000,24,True,730,3400,470,4022
BitVise59,randomWp,500000,59,True,2136,21491,41896,547294
OpenSSH31,randomWp,500000,31,True,860,4797,5814,59314
BitVise45,randomWp,500000,45,True,1630,19364,16615,217105
DropBear20,randomWp,500000,20,True,622,2992,1784,16912
DropBear26,randomWp,500000,26,True,790,3685,856,7698
DropBear22,randomWp,500000,22,True,720,3271,3918,36333
OpenSSH26,randomWp,500000,26,True,758,5293,30355,317442
BitVise54,randomWp,500000,54,True,1923,21805,31018,399760
BitVise39,randomWp,500000,39,True,1399,9289,21679,230746
OpenSSH28,randomWp,500000,28,True,796,4149,164213,1669938
BitVise57,randomWp,500000,57,True,2119,20249,71241,900811
BitViseOrig,randomWp,500000,66,True,2701,33681,166154,2302243
BitVise63,randomWp,500000,63,True,2384,25397,96516,1259575
BitVise47,randomWp,500000,47,True,1602,15530,24399,291270
OpenSSHOrig,randomWp,500000,27,True,822,5044,39804,421885
OpenSSH29,randomWp,500000,29,True,864,6695,8488,89991
DropBearOrig,randomWp,500000,17,True,539,3286,1325,13189
OpenSSH34,randomWp,500000,34,True,1017,5587,13715,133883
OpenSSH36,randomWp,500000,36,True,1078,7249,31283,327182
DropBear24,randomWp,500000,24,True,763,3877,355,3157
BitVise59,randomWp,500000,59,True,2234,21325,169326,2226309
OpenSSH31,randomWp,500000,31,True,898,5365,13131,130708
BitVise45,randomWp,500000,45,True,1585,16608,9041,109935
DropBear20,randomWp,500000,20,True,631,4076,483,4534
DropBear26,randomWp,500000,26,True,846,3801,733,6494
DropBear22,randomWp,500000,22,True,681,3191,284,2661
OpenSSH26,randomWp,500000,26,True,727,4494,10211,105420
BitVise54,randomWp,500000,54,True,1917,18200,42417,548808
BitVise39,randomWp,500000,39,True,1335,8503,1767,18407
OpenSSH28,randomWp,500000,28,True,817,4608,25189,255790
BitVise57,randomWp,500000,57,True,2105,20350,87714,1107543
BitViseOrig,randomWp,500000,66,True,2611,27444,258265,3478893
BitVise63,randomWp,500000,63,True,2534,30946,60184,780190
BitVise47,randomWp,500000,47,True,1646,15784,13106,154441
OpenSSHOrig,randomWp,500000,27,True,868,5470,21321,227951
OpenSSH29,randomWp,500000,29,True,869,5331,177916,1926808
DropBearOrig,randomWp,500000,17,True,539,3349,2072,22129
OpenSSH34,randomWp,500000,34,True,926,4890,84374,828873
OpenSSH36,randomWp,500000,36,True,1027,6802,5276,54193
DropBear24,randomWp,500000,24,True,700,3206,211,1897
BitVise59,randomWp,500000,59,True,2303,24743,110719,1444296
OpenSSH31,randomWp,500000,31,True,884,4641,184490,1854479
BitVise45,randomWp,500000,45,True,1585,17679,4989,62898
DropBear20,randomWp,500000,20,True,630,3715,1044,9732
DropBear26,randomWp,500000,26,True,796,3582,801,7012
DropBear22,randomWp,500000,22,True,681,3490,614,5833
OpenSSH26,randomWp,500000,26,True,758,4539,1233,11814
BitVise54,randomWp,500000,54,True,2033,21483,4459,54354
BitVise39,randomWp,500000,39,True,1344,9388,8894,92476
OpenSSH28,randomWp,500000,28,True,799,5922,139125,1409650
BitVise57,randomWp,500000,57,True,2157,20727,127526,1616143
BitViseOrig,randomWp,500000,66,True,2617,28378,335777,4536575
